# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = garch_garch11_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 1 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = garch-garch11.data.R
# init = 2 (Default)
# random
#   seed = 1569824
# output
#   file = 2.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha0,alpha1,beta1
-426.132,1,0.25,2,3,0,505.992,1.69384,17.8206,0.486779,0.301825
-426.132,0,14.3855,0,1,1,426.274,1.69384,17.8206,0.486779,0.301825
-426.132,0,2.43117,0,1,1,426.669,1.69384,17.8206,0.486779,0.301825
-372.485,1,0.239791,1,3,0,429.016,2.38191,7.46724,0.389119,0.241312
-305.819,1,0.324332,1,1,0,369.536,4.87164,9.3944,0.416185,0.184202
-305.819,0,0.507206,0,1,1,308.931,4.87164,9.3944,0.416185,0.184202
-296.979,1,0.0404064,3,7,0,306.942,4.76341,7.7647,0.426865,0.180045
-279.461,1,0.0687243,3,15,0,296.543,5.14693,1.1764,0.441817,0.146191
-274.283,0.979935,0.122801,3,7,0,280.324,5.12314,3.8108,0.712715,0.101469
-268.633,0.470883,0.212195,3,11,0,273.594,5.08292,1.93126,0.666872,0.0960062
-268.463,0.952558,0.0745447,4,23,0,270.361,5.007,2.39792,0.687597,0.119098
-269.219,0.839725,0.121369,5,31,0,270.482,5.2335,2.54194,0.526043,0.150872
-269.174,1,0.139382,2,3,0,269.837,4.86455,2.62879,0.523787,0.138704
-269.007,0.143495,0.265911,2,7,0,270.151,4.90306,2.63238,0.44814,0.150697
-270.176,0.993965,0.0350251,4,15,0,271.105,5.04324,3.22697,0.414956,0.146872
-268.135,0.988423,0.0662011,4,23,0,272.388,5.07404,1.91339,0.714918,0.113781
-274.452,0.476453,0.122391,4,27,0,276.589,4.69399,0.456784,0.361484,0.565357
-271.085,0.999254,0.0470704,5,55,0,276.933,4.67546,1.15839,0.381688,0.474536
-270.116,1,0.0897519,3,7,0,271.987,5.17823,1.28477,0.347058,0.506309
-269.016,0.937586,0.170052,3,7,0,270.96,5.2323,0.898151,0.424562,0.425161
-267.541,0.428572,0.265018,2,7,0,268.272,5.16377,1.30567,0.519457,0.365303
-266.875,0.937009,0.0911058,1,3,0,268.36,5.00569,1.28395,0.524602,0.359076
-267.375,0.794524,0.141653,2,3,0,268.03,5.17343,1.12134,0.531877,0.354559
-269.933,0.471666,0.144559,2,3,0,273.026,4.93419,2.0982,0.54772,0.323186
-268.406,0.972081,0.0581879,3,7,0,272.414,4.85159,1.71342,0.601647,0.265707
-268.319,1,0.0994137,4,23,0,269.183,4.90801,1.63855,0.627209,0.181836
-268.386,0.63288,0.182209,3,7,0,269.558,4.938,1.63481,0.669052,0.162716
-268.812,0.907398,0.117892,3,15,0,271.72,5.17742,2.5728,0.568018,0.160322
-269.312,0.803202,0.165073,1,3,0,270.333,5.2919,2.15052,0.580976,0.147602
-267.555,0.678388,0.172377,3,15,0,270.393,4.95819,1.59828,0.659788,0.208729
-268.334,0.973837,0.1278,3,15,0,268.868,5.19309,1.18219,0.649634,0.222967
-271.558,0.478248,0.212434,2,3,0,271.655,5.11061,0.882874,0.686594,0.195973
-267.654,0.878287,0.0921541,3,7,0,273.431,4.97459,1.63872,0.679967,0.225034
-267.791,0.998596,0.117996,4,23,0,269.106,4.99547,1.9348,0.565153,0.152527
-268.299,0.98324,0.206991,3,15,0,271.15,4.96583,0.940204,0.336947,0.487281
-268.299,0.00839798,0.345605,2,3,0,270.652,4.96583,0.940204,0.336947,0.487281
-268.848,0.995089,0.045002,4,15,0,269.457,5.01686,1.19253,0.341451,0.513558
-267.613,1,0.0777654,4,15,0,270.21,5.09443,1.11722,0.61884,0.256351
-267.106,0.895205,0.134928,2,3,0,268.545,4.97067,1.40892,0.603054,0.257451
-267.704,0.658202,0.17771,3,15,0,269.102,5.15051,1.20467,0.430087,0.421791
-268.722,0.9878,0.12796,4,23,0,270.206,4.86445,1.32353,0.36936,0.367675
-270.67,0.367132,0.211805,4,15,0,272.39,5.35971,1.72666,0.555908,0.181835
